ID,FOR,TYPE,SIZE,Spec_grav,Carbon_ratio,Roundwood,Roundw_ratio,InUse_Landfill,TOTAL
ASP_hard_pulp,ASP,H,P,0.397,0.5,0.831,1.387,0.304,0.069552313
ASP_hard_saw,ASP,H,S,0.397,0.5,0.831,0.96,0.297,0.047031542
ASP_soft_pulp,ASP,S,P,0.351,0.5,0.931,1.285,0.092,0.019316025
ASP_soft_saw,ASP,S,S,0.351,0.5,0.931,0.985,0.346,0.055685116
MBB_hard_pulp,MBB,H,P,0.496,0.5,0.831,1.387,0.304,0.086896593
MBB_hard_saw,MBB,H,S,0.496,0.5,0.831,0.96,0.297,0.058759811
MBB_soft_pulp,MBB,S,P,0.356,0.5,0.931,1.285,0.092,0.019591182
MBB_soft_saw,MBB,S,S,0.356,0.5,0.931,0.985,0.346,0.056478352
OAK_hard_pulp,OAK,H,P,0.534,0.5,0.831,1.387,0.304,0.093553993
OAK_hard_saw,OAK,H,S,0.534,0.5,0.831,0.96,0.297,0.06326157
OAK_soft_pulp,OAK,S,P,0.369,0.5,0.931,1.285,0.092,0.02030659
OAK_soft_saw,OAK,S,S,0.369,0.5,0.931,0.985,0.346,0.058540763
LOB_soft_pulp,LOB,S,P,0.351,0.5,0.931,1.285,0.092,0.019316025
LOB_soft_saw,LOB,S,S,0.351,0.5,0.931,0.985,0.346,0.055685116
LON_soft_pulp,LON,S,P,0.351,0.5,0.931,1.285,0.092,0.019316025
LON_soft_saw,LON,S,S,0.351,0.5,0.931,0.985,0.346,0.055685116
